Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
16,930000,3,2,61,1415,0,3,1,951
16,785000,2,0,58,1212,0,3,0,757
16,3100000,7,0,75,4050,2,5,2,2412
85,1250000,3,0,12,1750,1,4,0,1239
16,1280000,4,0,58,1614,1,3,1,1127
16,1950000,7,2,18,1840,1,6,1,1302
55,1700000,5,0,79,3200,1,4,0,2039
16,950000,3,0,58,1415,0,3,0,951
35,2450000,5,0,75,4610,1,5,0,2601
16,500000,2,0,58,1080,1,3,1,628
16,2450000,4,2,23,2640,1,5,0,1775
35,1950000,3,2,79,3147,1,4,0,2016
81,2350000,5,0,79,3347,1,5,0,2108
16,3300000,6,0,79,4700,2,6,1,2635
35,360000,2,2,86,950,1,3,0,497
60,530000,2,0,0,1300,4,3,0,841
35,360000,2,2,82,950,1,3,0,497
35,425000,2,2,83,950,1,3,0,497
35,435000,2,1,86,950,1,3,0,497
35,390000,2,0,83,950,1,3,0,497
28,300000,0,0,57,929,4,0,0,478
3,620000,3,0,8,1080,4,4,0,628
19,2500000,3,2,57,2800,1,3,0,1855
10,890000,1,1,58,1100,0,2,0,648
16,560000,2,2,57,1300,4,3,1,841
10,3560000,4,0,9,4825,0,3,1,2667
10,805000,1,1,82,790,0,1,1,340
61,735000,2,0,61,1019,1,3,0,566
10,670000,1,0,57,674,0,1,1,229
10,11500000,5,0,48,17300,2,6,0,3795
73,610000,2,2,57,1550,1,4,1,1070
10,5850000,6,0,45,6650,1,5,2,3043
16,720000,2,2,82,971,2,3,0,518
40,300000,2,2,57,900,1,3,0,449
80,432000,2,1,61,1090,0,3,0,638
61,600000,2,1,82,873,0,1,0,423
81,350000,2,2,82,850,4,3,0,400
61,940000,2,0,61,1390,2,3,1,928
55,1750000,7,5,9,4000,0,7,1,2391
85,350000,2,1,37,830,0,3,0,380
81,2000,2,2,57,1080,1,3,0,628
21,550000,2,1,83,1129,0,3,0,677
35,500000,3,3,57,1250,4,3,0,795
10,1550000,4,0,57,1869,0,3,1,1321
10,1450000,2,1,58,1704,0,2,0,1204
10,1500000,2,0,61,1511,0,3,0,1038
10,850000,1,1,82,1000,0,2,0,547
85,2700000,6,0,58,3729,2,4,1,2285
40,7875000,0,0,71,15000,4,0,0,3733
12,62262000,0,0,71,51885,4,0,0,3969
19,7534038,0,0,54,12191,4,0,0,3645
34,2600000,0,0,74,10796,4,0,0,3579
43,4834740,0,0,72,12723,2,0,0,3665
35,7000000,0,0,52,17478,2,0,0,3799
27,6380000,0,0,51,10689,2,0,0,3575
35,655000,2,2,57,935,1,3,0,484
35,655000,2,2,57,935,1,2,0,484
35,345000,2,1,86,950,1,3,0,497
61,250000,2,0,57,650,1,3,0,206
21,1100000,3,2,82,2100,1,4,1,1485
91,2800000,3,0,75,3600,4,4,1,2219
43,2800000,4,2,83,3300,1,3,1,2081
9,920000,2,1,83,1087,1,2,1,635
9,830000,2,1,82,916,0,2,0,465
9,490000,1,1,86,500,0,1,0,86
9,550000,1,0,82,648,4,1,1,204
9,890000,2,0,82,1119,4,3,0,667
9,845000,2,0,82,990,4,3,0,537
73,590000,2,2,57,1550,1,3,0,1070
9,800000,2,0,82,990,4,3,0,537
28,263000,2,1,41,831,1,3,0,381
27,1300000,2,2,57,1389,4,3,0,927
27,1680000,2,2,57,1701,4,3,0,1202
3,2980000,7,2,46,6000,2,6,1,2918
27,1100000,2,0,57,1389,4,2,0,927
28,268000,2,1,40,826,1,3,0,376
43,2140000,2,0,83,956,4,2,0,503
24,1429123,1,0,82,904,1,1,0,453
24,1649999,2,2,82,1152,4,1,1,700
24,1719888,2,2,82,1163,4,1,1,710
24,2159999,4,2,82,1669,1,2,1,1175
54,949999,2,2,57,1122,4,2,1,670
43,2426016,5,6,58,2732,1,4,1,1823
67,588000,2,2,82,1110,1,3,0,658
67,480000,2,2,82,731,1,2,0,285
24,7500000,6,6,49,11000,1,6,1,3588
69,693000,3,2,58,1184,1,3,0,729
69,881100,3,2,60,1475,4,3,1,1008
69,950000,4,3,58,1872,1,4,1,1324
69,1289600,4,5,62,1872,1,4,1,1324
54,980000,3,2,57,1828,1,3,0,1292
16,579999,2,2,57,1070,1,3,0,617
16,649999,2,3,57,1070,0,3,0,617
16,629999,2,2,57,1196,1,3,0,741
16,799999,3,3,57,1599,0,3,1,1114
16,699999,3,2,57,1498,1,3,1,1026
16,660000,3,2,58,1263,1,3,1,808
43,1350000,3,1,82,1281,0,2,1,825
16,400000,0,0,57,1465,4,0,0,1000
85,300000,2,1,57,800,1,2,1,350
35,600000,2,1,83,716,0,1,0,270
46,1500000,9,6,45,4700,2,10,0,2635
54,630000,1,1,86,743,0,1,0,296
85,1500000,4,2,58,2500,0,6,0,1708
54,768000,1,2,83,672,0,1,0,227
3,1150000,1,1,82,910,0,1,0,459
69,760000,3,2,57,1496,4,3,1,1024
21,390000,2,0,57,800,2,3,0,350
29,450000,2,1,57,1100,1,3,0,648
35,645000,2,2,58,1168,0,3,0,715
67,170000,2,0,41,783,2,3,0,334
29,2700000,6,0,75,4400,1,5,1,2530
3,800000,1,1,82,853,0,1,0,403
16,1400000,4,2,57,1878,1,3,1,1328
69,780000,3,2,57,1391,2,3,0,929
16,1350000,2,2,57,1678,1,3,1,1183
21,1170000,4,2,57,1675,1,4,0,1180
73,530000,2,3,57,1333,1,4,0,873
73,540000,2,2,57,1313,1,3,0,853
73,620000,2,2,57,1500,1,3,0,1028
73,500000,2,3,57,1333,1,4,0,873
35,538000,2,1,57,1215,1,3,0,760
21,300000,2,1,37,750,1,3,0,303
21,310000,2,1,57,810,1,3,0,360
40,350000,1,0,82,466,0,1,0,63
73,490000,2,2,57,1313,1,4,0,853
9,1630000,4,2,57,2068,4,3,1,1461
22,750000,2,0,82,840,0,2,0,390
22,510000,1,0,82,550,0,1,0,122
21,300000,2,0,57,810,1,3,0,360
73,400000,2,2,82,856,2,2,0,406
73,360000,2,2,82,856,2,2,0,406
73,500000,2,2,82,1260,1,3,0,805
73,480000,2,1,83,1040,2,3,0,587
73,488000,2,2,82,1009,0,3,0,556
73,430000,2,2,82,943,2,2,0,491
73,550000,2,2,82,1260,2,3,0,805
73,390000,2,2,83,1009,2,3,0,556
73,378000,2,2,83,856,2,2,0,406
73,480000,2,2,82,1095,1,3,0,643
73,395000,2,2,82,1009,2,3,0,556
73,425000,2,2,82,1009,1,3,0,556
73,390000,2,2,82,1009,2,3,0,556
70,520000,2,1,86,948,2,3,0,495
70,505000,2,1,86,948,2,3,0,495
73,380000,2,2,82,856,2,2,0,406
88,520000,2,1,82,1007,1,3,0,554
70,410000,2,2,82,819,4,3,0,369
70,333000,2,1,82,650,4,2,0,206
73,550000,2,2,83,1260,0,3,0,805
24,1206600,3,2,57,1356,1,3,1,895
70,750000,2,1,83,1096,2,3,0,644
22,1780000,3,0,82,1442,4,2,1,977
42,4256840,6,2,82,3283,1,4,1,2072
22,5000000,4,0,82,4130,4,3,1,2437
22,2600000,4,0,82,2250,1,3,1,1570
36,460000,2,1,57,1050,1,3,0,597
70,630000,3,2,58,1087,1,3,0,635
43,2800000,5,0,82,2343,1,4,1,1621
73,380000,2,1,58,1211,2,3,1,756
39,192000,2,1,37,720,1,3,0,274
2,410000,1,1,82,689,0,1,0,244
2,520000,1,0,82,925,3,2,0,474
2,580000,1,1,82,925,0,2,0,474
2,590000,2,1,82,950,0,2,0,497
21,430000,2,0,61,905,2,3,0,454
46,890000,4,2,57,1700,0,3,1,1201
2,600000,1,1,82,925,0,2,0,474
2,435000,1,1,82,613,0,1,0,172
2,420000,1,1,82,689,0,1,0,244
43,1000000,1,1,82,1141,0,2,0,689
2,2500,2,1,82,950,0,2,0,497
43,1050000,2,2,82,1141,0,2,0,689
2,750000,2,1,82,1378,0,3,0,916
43,750000,1,1,82,603,0,1,0,162
3,530000,1,1,82,1080,0,2,0,628
28,335000,2,1,37,885,0,3,0,434
51,960000,3,2,58,1948,1,3,1,1378
51,790000,3,2,61,1690,1,3,1,1192
16,920000,3,2,57,1335,1,3,1,875
35,655000,2,2,57,948,1,3,0,495
16,5800000,7,4,49,7950,1,5,1,3246
27,2250000,4,2,21,1442,0,4,0,977
35,1980000,3,0,49,5837,1,4,0,2884
24,4800000,4,0,49,7600,1,5,1,3198
98,688000,2,1,86,1100,0,3,0,648
22,1600000,2,1,86,1130,0,1,0,678
71,550000,2,1,57,667,1,2,0,222
35,1053000,4,2,57,1691,1,3,1,1193
35,812000,4,2,57,1250,1,3,1,795
71,898380,2,2,57,1087,1,3,0,635
71,707000,2,1,57,829,1,2,0,379
55,3600000,6,0,46,4900,1,6,1,2683
35,933000,3,2,61,1523,1,2,1,1050
34,561100,4,0,62,1879,3,3,1,1329
21,580000,3,0,8,1170,1,3,0,717
21,420000,2,1,57,900,4,2,0,449
16,930000,3,2,57,1513,1,4,1,1040
29,520000,2,2,57,1100,1,3,0,648
21,360000,1,0,82,610,0,1,0,169
35,398000,2,2,86,950,2,3,0,497
80,545000,2,2,86,980,0,3,0,527
70,350000,2,0,82,646,4,2,0,202
10,4900000,3,4,49,6609,1,5,1,3035
3,2200000,6,2,15,5403,1,5,1,2790
70,414600,2,2,82,850,4,3,0,400
3,1350000,4,0,79,3600,0,4,0,2219
21,535800,2,2,61,1000,1,3,1,547
24,4498000,7,0,45,3000,2,5,1,1938
51,560000,2,2,57,986,1,3,0,533
51,600000,2,2,57,986,1,3,0,533
80,380000,1,1,8,770,1,2,0,321
27,2150000,4,0,12,2530,0,3,1,1724
21,748000,3,2,12,1650,1,4,1,1157
69,620000,2,2,57,1019,1,3,0,566
54,800000,2,1,83,861,0,2,0,411
43,2880000,5,2,83,3383,0,4,1,2123
40,1180000,3,1,61,1492,0,3,1,1021
16,1123000000,4,4,57,1930,4,5,1,1367
16,950000,3,2,75,2660,4,4,0,1790
10,2350000,4,0,57,3509,1,4,1,2178
10,1900000,6,0,57,2745,1,3,1,1830
10,1450000,4,0,57,1905,1,3,1,1349
69,630000,3,2,57,1577,1,3,1,1095
69,834000,4,3,57,1614,1,4,0,1127
10,2430000,5,3,57,3046,1,5,1,1964
51,280000,2,0,68,721,1,3,0,275
69,780000,3,2,57,1391,1,3,1,929
16,390000,2,1,61,1091,4,3,0,639
10,4275000,5,3,58,3239,1,3,1,2054
10,7100000,6,3,58,4300,1,4,0,2495
10,5115000,5,3,58,3300,1,3,1,2081
10,10680000,7,5,58,6913,1,5,1,3090
10,7700000,6,3,58,4771,1,4,1,2652
10,6450000,5,3,58,4025,1,3,1,2400
10,7400000,6,3,58,4945,1,4,1,2691
10,10800000,7,5,58,6913,1,5,1,3090
10,7500000,6,3,58,4771,1,4,1,2652
10,7380000,6,4,58,4945,1,4,1,2691
45,490000,2,3,86,1137,1,3,0,685
69,205000,2,0,67,955,1,3,0,502
91,1680000,3,2,82,1444,4,2,1,979
45,200000,2,0,41,650,1,3,0,206
43,1182000,2,0,61,1182,1,3,0,728
24,1150000,4,0,83,1480,0,3,1,1012
24,1250000,2,1,86,1203,1,2,1,748
24,1250000,4,0,83,1480,1,3,1,1012
24,900000,1,1,83,828,1,1,1,378
29,1000000,3,2,58,1710,0,3,1,1210
24,2400000,4,3,83,2700,0,4,1,1808
24,1400000,4,2,83,1573,1,3,1,1091
69,800000,3,2,57,1893,1,4,0,1340
69,740000,3,2,57,1893,1,4,0,1340
21,480000,3,2,12,1300,2,4,0,841
69,780000,3,2,57,1295,1,3,1,837
69,1380000,4,2,57,1856,1,3,1,1312
69,880000,2,2,57,1319,1,3,0,859
29,1230000,4,3,57,1991,0,3,2,1405
29,926228,4,2,57,1719,1,3,1,1216
69,750000,3,2,57,1391,1,3,1,929
34,400000,1,1,64,481,0,1,0,72
29,1130000,4,3,57,1799,1,3,1,1275
69,906000,4,3,57,1611,1,4,1,1125
69,730000,3,2,57,1391,1,3,1,929
45,1300000,5,3,20,1650,2,6,0,1157
34,430000,1,1,57,698,0,2,0,252
34,420000,2,0,57,840,4,2,0,390
69,750000,3,2,57,1298,1,3,1,839
29,470000,2,1,57,1200,1,3,0,745
69,1150000,4,2,57,1788,1,3,1,1267
69,679000,2,1,57,990,1,2,0,537
69,777990,3,2,57,1496,1,3,1,1024
69,520000,2,1,82,713,4,2,0,267
21,1000000,4,1,58,1675,1,4,1,1180
80,1400000,3,0,9,3200,4,5,0,2039
36,448000,2,2,83,957,4,2,1,504
12,600000,1,0,86,468,0,1,0,65
12,550000,1,0,82,499,0,1,0,85
12,757000,1,0,82,606,0,1,0,165
81,350000,3,2,83,1045,0,3,0,592
12,880000,2,0,82,838,0,2,0,388
12,715000,1,0,82,527,0,1,0,106
80,295000,2,2,37,950,1,3,0,497
80,860000,4,3,58,1819,1,4,0,1287
81,660000,2,2,86,1025,1,2,1,572
16,1180000,3,2,58,1506,1,3,0,1033
35,650000,2,2,58,900,1,2,0,449
35,650000,2,2,58,1358,1,3,0,897
16,980000,4,2,58,1513,1,4,1,1040
16,1350000,3,2,58,1700,0,3,1,1201
35,738000,2,2,61,1073,1,4,0,620
16,920000,3,2,57,1513,1,4,1,1040
81,650000,2,3,86,1025,1,3,0,572
16,2180000,5,3,57,2253,0,4,0,1571
41,835000,1,1,57,700,2,1,0,254
81,730000,3,2,83,1135,1,3,0,683
81,750000,3,2,83,1135,1,3,0,683
81,660000,2,2,86,1025,0,2,1,572
81,810000,3,0,83,1430,1,3,0,966
81,499000,1,1,86,750,1,1,0,303
81,618000,2,2,86,1025,1,2,1,572
16,2600000,6,0,36,4344,0,5,0,2511
16,1318000,3,2,58,1700,0,3,1,1201
16,2080000,6,3,61,2733,1,4,1,1824
16,1250000,3,0,58,1420,1,3,1,956
16,2480000,6,0,36,4344,0,5,0,2511
35,598000,2,1,86,852,1,3,0,402
16,1500000,3,2,58,1700,1,3,1,1201
35,679000,2,2,61,935,1,3,0,484
81,660000,2,3,86,1025,1,2,1,572
35,750000,2,2,58,1305,1,3,0,846
16,2990000,6,0,58,4598,1,4,2,2595
21,390000,2,2,58,920,0,3,0,469
81,630000,2,2,86,1025,1,2,1,572
16,1100000,2,2,83,1254,1,3,0,799
81,810000,2,2,83,1259,1,2,0,804
81,790000,2,2,83,1317,1,2,0,857
16,1050000,3,2,84,1521,1,3,0,1048
16,848000,2,2,86,1025,1,2,1,572
16,1680000,3,3,82,2158,1,4,1,1519
16,900000,2,2,82,1170,1,3,0,717
16,780000,1,1,88,1125,1,1,0,673
16,780000,1,1,88,1110,1,1,0,658
16,945000,2,2,82,1170,1,3,0,717
16,1100000,3,2,84,1521,1,3,0,1048
16,1050000,2,2,82,1170,0,3,0,717
16,1010000,2,2,83,1170,0,3,0,717
80,880000,4,3,58,1851,2,4,0,1308
16,1160000,2,2,58,1420,1,3,1,956
40,220000,1,0,69,678,1,2,0,233
54,1793400,4,2,61,1830,1,4,1,1294
40,780000,1,1,82,732,0,1,0,286
35,698000,3,2,82,1227,1,3,1,772
16,825000,2,2,83,971,2,3,0,518
16,823000,2,2,83,969,2,3,0,516
16,726000,2,2,83,855,2,2,0,405
16,672000,2,2,86,791,2,2,0,341
16,622000,1,1,83,732,2,2,0,286
16,566000,1,1,86,667,2,2,0,222
16,1180000,4,2,57,1772,1,4,1,1254
16,1350000,4,4,57,1930,1,5,1,1367
10,7912000,6,3,58,4945,1,5,0,2691
16,2600000,6,3,58,3260,1,5,0,2063
10,11060800,6,6,58,6913,1,5,0,3090
10,9631875,6,3,58,5137,1,5,0,2723
10,7300000,5,3,58,4025,1,4,0,2400
41,1380000,2,1,58,1076,2,2,0,623
35,740000,2,2,58,1105,1,2,2,653
16,1550000,4,3,58,2021,0,4,0,1425
16,1450000,4,3,58,1878,1,4,0,1328
35,920000,2,2,58,1256,1,4,1,801
35,750000,2,2,58,1092,1,4,0,640
35,900000,2,2,58,1205,1,4,1,750
16,1100000,3,2,61,1409,1,3,1,946
35,345000,2,1,41,945,1,3,0,492
35,1080000,4,2,61,1875,2,3,1,1326
35,988000,3,2,61,1523,1,2,1,1050
35,1150000,4,2,61,1875,2,3,1,1326
35,1400000,4,3,58,2128,1,3,2,1499
81,520000,2,2,57,935,1,3,0,484
35,490000,2,1,61,1200,4,3,0,745
16,955000,3,2,57,1513,4,4,0,1040
21,268000,2,1,37,780,4,3,0,331
70,635000,3,2,57,1100,1,3,0,648
69,730000,3,2,57,1897,1,3,1,1344
69,650000,3,2,57,1577,1,3,0,1095
70,640000,2,1,57,1100,0,1,1,648
16,800000,2,2,82,1170,1,3,0,717
16,990000,2,2,82,1254,1,3,0,799
16,848000,2,2,82,1025,1,2,0,572
16,630000,1,1,82,721,0,1,1,275
16,945000,2,2,82,1170,1,3,0,717
69,1130000,4,2,57,1788,1,3,1,1267
69,1250000,4,2,57,1788,1,3,1,1267
101,850000,3,2,57,1647,0,3,1,1154
16,740000,2,1,82,920,1,2,0,469
69,850000,2,2,57,1319,1,3,0,859
69,1200000,4,2,57,1856,1,3,1,1312
16,1100000,3,2,82,1301,1,3,0,842
16,1130000,3,2,84,1521,1,3,0,1048
16,1130000,3,2,84,1521,1,3,0,1048
69,930000,2,2,57,1319,1,3,0,859
36,470000,2,1,57,1100,1,3,0,648
43,838000,2,1,82,753,0,1,0,306
80,488000,2,1,58,1129,1,3,0,677
21,1300000,4,3,57,2059,4,4,1,1453
70,800000,0,0,57,1381,4,0,0,919
69,650000,2,2,57,1019,0,3,0,566
58,828000,2,0,1,2597,4,4,0,1759
54,2295000,5,3,58,2767,1,4,1,1841
54,2430000,6,3,58,2906,4,4,2,1896
43,6900000,6,4,62,6360,1,5,2,2989
34,561100,3,0,57,1879,1,3,1,1329
10,3200000,4,2,58,3200,1,6,1,2039
91,5350000,0,0,45,7200,1,0,0,3139
2,545000,2,0,61,1420,1,3,0,956
21,505000,2,0,61,1098,1,3,0,646
35,320000,2,0,41,960,1,3,0,507
101,430000,2,1,61,1100,1,3,0,648
24,2530000,1,1,82,2077,4,3,1,1465
24,1650000,1,1,82,1194,4,1,1,739
24,1485000,1,1,82,904,4,1,0,453
43,8070000,2,4,87,2960,1,4,0,1922
43,3897000,4,0,86,3897,1,3,1,2350
2,6000000,5,2,58,3823,0,4,1,2321
30,3300000,5,2,95,4000,1,4,1,2391
35,370000,2,0,61,1300,1,3,0,841
19,3000000,4,0,57,3133,1,4,1,2009
29,1350000,4,0,57,2070,1,4,1,1463
29,1250000,4,0,57,1799,1,3,1,1275
54,720000,2,0,57,1399,4,3,1,937
16,700000,2,2,57,1236,1,3,1,781
10,2200000,3,0,8,1960,1,4,1,1385
29,1015700,3,0,61,1451,1,3,0,986
29,1350000,4,0,58,2070,1,4,1,1463
10,9500000,5,0,57,4771,0,4,1,2652
26,760000,2,2,83,1087,4,2,0,635
35,510300,2,0,57,1335,1,3,0,875
35,510300,2,0,57,1335,1,3,0,875
73,470000,3,0,83,1092,1,4,0,640
3,990000,4,6,12,3000,1,5,0,1938
35,1350000,4,3,61,2128,0,3,2,1499
74,1200000,3,2,12,1400,1,4,0,938
21,890000,2,2,82,850,1,2,0,400
80,320000,2,2,61,850,0,3,0,400
10,4500000,5,3,75,1760,0,5,0,1247
24,1250000,1,1,82,1186,0,1,1,731
29,1050000,3,2,57,1450,0,3,0,985
29,800000,3,1,57,1600,0,3,1,1115
29,1200000,4,3,57,2070,1,4,1,1463
21,672300,2,0,82,1272,1,3,0,816
16,530000,3,2,57,1003,2,3,0,550
54,2000000,6,0,57,4000,0,5,1,2391
54,1150000,3,0,57,1998,1,3,1,1411
54,1380000,3,0,57,1839,1,3,1,1301
54,2090000,4,0,57,3314,1,4,1,2090
54,1650000,3,0,57,2456,1,4,1,1683
54,1380000,3,0,57,2002,0,3,1,1414
54,830000,2,1,58,1400,1,3,0,938
54,1450000,4,0,57,1900,0,3,1,1346
54,1720000,4,0,57,2500,0,4,1,1708
36,480000,2,2,57,1100,1,3,0,648
54,930000,0,0,82,892,4,0,0,441
78,500000,1,1,82,450,0,1,0,53
54,1170000,2,1,82,926,0,2,1,475
16,855000,3,0,57,1513,3,4,1,1040
16,680000,2,3,57,1212,0,3,0,757
54,700000,2,2,58,1015,2,3,0,562
34,561100,4,0,62,1879,3,3,1,1329
10,4877550,4,2,61,3613,1,3,1,2226
21,350000,2,1,61,926,2,3,0,475
78,510000,1,1,82,450,0,1,0,53
81,570000,2,2,61,1109,1,4,0,657
73,218000,2,1,57,805,4,3,0,355
73,460000,3,0,8,880,4,4,0,430
70,530000,2,2,57,1062,4,3,0,609
70,370000,2,1,37,1016,1,3,0,563
101,450000,2,3,57,1150,4,3,0,698
73,355000,2,1,57,1200,4,3,0,745
73,165000,1,0,66,700,4,3,0,254
36,1000,2,1,57,1200,4,3,0,745
36,1200,2,1,37,1100,4,3,0,648
73,330000,2,1,37,862,4,3,0,412
45,455000,2,2,37,1081,4,3,0,629
70,370000,2,0,37,1061,4,3,0,608
73,460000,2,2,57,1280,3,3,0,824
101,210000,1,0,66,550,4,2,0,122
21,150000,1,0,66,700,4,3,0,254
21,750000,2,2,83,1127,1,2,1,675
45,3400000,6,6,49,5566,0,7,1,2831
3,830000,2,2,86,953,1,2,0,500
36,500000,3,0,38,1336,1,4,0,876
16,400000,2,1,37,957,4,3,0,504
54,780000,2,0,57,1399,0,3,0,937
54,850000,2,1,57,1550,0,3,1,1070
43,2200000,2,2,57,1798,0,3,0,1274
43,2196000,2,2,57,1518,0,3,0,1045
43,2260000,2,2,57,1518,0,3,0,1045
43,1900000,2,2,57,1518,1,2,0,1045
43,2210000,2,2,57,1464,0,2,0,999
3,450000,1,0,82,398,0,1,0,30
54,980000,4,2,61,1828,0,3,1,1292
54,1300000,4,0,58,2208,0,4,0,1547
54,1300000,4,0,58,3640,0,3,1,2238
54,1150000,4,0,58,2208,0,4,0,1547
54,1450000,5,2,57,3200,1,3,1,2039
54,2000000,5,3,58,4650,0,4,1,2615
3,3100000,5,0,45,6000,1,7,0,2918
43,1480000,2,2,57,871,0,2,0,421
3,1100000,2,3,82,1211,4,3,0,756
21,539000,2,2,58,990,2,3,0,537
34,561100,3,0,57,1879,1,3,1,1329
14,1450000,2,0,82,1555,0,3,0,1075
71,4800000,6,0,45,7900,1,4,1,3239
85,630000,2,1,57,1240,1,3,0,785
71,690000,2,1,57,1350,1,3,0,890
3,1900000,4,3,82,1920,0,3,1,1360
42,3000000,2,1,82,1541,1,1,0,1064
46,520000,2,1,58,1180,1,3,0,726
54,930000,2,1,57,1241,0,3,0,786
24,1200000,1,1,82,1186,0,1,0,731
11,525000,2,1,57,1130,1,3,0,678
35,725000,2,0,3,1760,2,4,0,1247
54,3000000,4,0,57,3317,2,3,1,2093
78,4700000,6,2,45,5500,0,4,1,2819
21,950000,4,0,15,3081,2,5,0,1985
43,658000,1,1,61,918,0,1,0,467
10,1050000,2,1,57,1250,0,2,0,795
9,600000,1,0,82,638,1,1,0,194
10,1400000,2,1,57,1700,4,3,0,1201
10,650000,1,1,57,624,0,1,1,182
10,1450000,2,1,57,1704,4,3,0,1204
54,1340000,3,2,61,1668,1,3,1,1174
54,1450000,3,2,58,2163,0,3,1,1524
22,698000,3,2,57,1500,0,3,1,1028
73,398000,1,2,83,682,4,2,0,237
3,1100000,2,2,83,1230,0,3,0,775
70,848000,3,2,61,1381,1,4,0,919
73,340000,2,1,61,911,1,3,0,460
73,415000,2,1,61,1272,1,3,0,816
101,650000,2,1,61,1246,1,3,0,791
73,515000,2,2,61,1313,1,4,0,853
73,530000,2,1,61,1313,1,3,0,853
73,420000,2,1,61,1231,2,3,0,776
73,500000,2,2,61,1333,1,3,0,873
3,1400000,3,2,61,2109,1,3,1,1488
101,510000,2,1,61,1267,1,3,0,812
40,530000,2,1,57,1105,0,3,0,653
73,530000,2,1,61,1313,1,4,0,853
73,500000,2,2,61,1333,2,3,1,873
21,400000,2,1,61,926,1,3,0,475
21,400000,2,1,60,947,1,3,0,494
73,495000,2,1,61,1102,1,3,0,650
70,595000,2,1,61,1115,1,3,0,663
42,2100000,4,2,57,2886,0,4,1,1890
70,2800,4,2,61,1500,1,3,1,1028
73,500000,2,1,61,1313,1,4,0,853
88,3950000,5,0,76,4300,2,4,1,2495
73,520000,2,2,61,1313,2,4,0,853
73,500000,2,2,61,1313,2,4,0,853
40,530000,2,1,61,1073,1,2,1,620
73,600000,2,2,61,1098,1,3,0,646
101,420000,2,1,61,1267,1,3,0,812
101,465000,2,1,61,1267,1,3,0,812
73,390000,2,1,61,903,1,3,0,452
40,638000,3,1,57,1378,0,3,0,916
70,500000,2,1,61,948,2,3,0,495
21,400000,2,1,61,947,1,3,0,494
70,680000,2,2,61,1345,1,3,0,885
73,545000,2,2,61,1313,1,4,0,853
73,560000,2,2,61,1600,1,3,0,1115
73,700000,2,2,61,1389,1,3,0,927
40,588000,2,1,61,1192,0,3,1,737
70,580000,2,1,61,1087,0,3,0,635
3,1400000,3,0,61,2109,1,3,1,1488
73,520000,2,2,61,1313,1,4,0,853
70,450000,2,2,61,1181,1,3,0,727
70,680000,3,2,61,1345,1,3,1,885
73,580000,2,2,61,1600,1,3,0,1115
73,335000,2,1,61,930,1,3,0,479
73,380000,2,1,61,930,1,3,0,479
101,445000,3,1,61,1267,1,3,1,812
73,430000,2,2,61,1272,1,4,0,816
73,400000,2,1,61,1173,1,3,0,720
73,430000,2,1,61,1207,1,3,0,752
21,400000,2,1,61,927,1,3,0,476
73,580000,2,2,61,1098,1,2,1,646
3,1476300,4,0,61,2109,1,3,1,1488
70,680000,2,2,61,1345,0,3,0,885
70,435000,2,1,61,1223,1,3,0,768
101,480000,2,2,57,1150,1,3,0,698
101,465000,2,1,61,1150,1,3,0,698
29,1120000,2,0,57,1053,1,1,1,600
70,430000,2,1,61,1291,1,3,0,833
73,400000,2,1,61,1023,1,3,0,570
101,470000,2,2,61,1150,1,3,0,698
73,470000,2,2,61,1280,1,3,0,824
73,420000,2,1,61,1231,1,3,0,776
88,2300000,3,0,76,7230,1,4,1,3143
73,505000,2,1,61,1104,1,3,0,652
73,340000,2,1,61,940,1,3,0,488
21,2200000,4,3,45,6300,1,5,1,2979
54,4060000,5,4,26,1389,1,4,1,927
43,1580000,3,1,57,2200,0,2,2,1541
88,3600000,8,5,49,4400,2,7,1,2530
42,2400000,5,2,82,1744,2,3,1,1233
85,2100000,4,3,11,4570,1,4,0,2589
43,5500000,5,3,82,5338,4,5,1,2776
40,1200000,2,0,82,866,0,2,0,416
54,4500000,5,0,75,4000,0,5,0,2391
54,2600000,5,3,57,2691,1,3,1,1805
16,750000,2,2,57,1300,2,3,1,841
54,2320000,5,2,57,2906,1,4,1,1896
54,1890000,4,2,57,2347,1,3,1,1624
51,520000,2,2,57,986,1,3,0,533
101,710000,2,0,57,1085,4,3,0,633
54,2150000,4,3,58,2707,1,3,1,1812
54,3280000,4,3,58,3729,1,4,1,2285
54,2660000,4,3,58,3317,1,4,1,2093
78,324000,1,0,82,500,4,1,0,86
54,880000,2,1,57,1238,0,3,0,783
45,650000,2,4,3,1500,1,3,0,1028
45,580000,2,0,3,1430,1,3,0,966
78,324000,1,0,82,500,4,1,0,86
54,3227840,5,3,58,3668,1,4,1,2255
54,3180000,5,3,58,3668,1,4,1,2255
54,3050000,5,3,58,3704,1,4,1,2273
54,3148400,5,3,58,3704,1,4,1,2273
10,1020000,2,1,57,1550,4,3,0,1070
35,690000,4,2,57,1495,0,4,0,1023
43,630000,1,0,82,639,0,1,0,195
3,1870000,5,3,82,1920,0,3,1,1360
16,670000,2,2,57,1234,1,3,0,779
43,650000,1,0,82,639,0,1,0,195
54,4250000,6,0,79,4750,1,5,1,2647
19,2100000,5,0,58,2271,0,4,0,1581
19,1600000,5,0,58,1755,0,4,0,1242
54,1150000,3,2,83,1650,0,3,0,1157
